Title,Desc,Time_Prereq
ECON 26010.  Public Finance.  100 Units.,"
This course addresses the measurement, explanation, and consequences of government activity including tax systems, expenditure programs, and regulatory arrangements. Topics include cross-country comparisons of government behavior, market analyses of public policy, the incidence of government activity, and effects of economic activity on politics and public policy.","
Instructor(s): M. Golosov     Terms Offered: TBD
Prerequisite(s): ECON 20200/20210 and ECON 21020 (or ECON 21030)
Note(s): ECON 26010 or 26020 may be used as an economics elective, but only one may be used toward degree requirements.
"
ECON 26030.  The Economics of Socialism.  100 Units.,"
The course examines the economic theories of socialism ranging from Karl Marx's to market socialism, as well as theories of market power, collective action, and price regulation. These theories are applied to the measurement of socialism, income distribution, surplus value, and the degree of exploitation of labor. These metrics are used to compare various mixed economies including the Nordic model and various sectors in the United States. We consider how the economics of socialism might evolve as the health sector grows in the near future and artificial intelligence transforms the workplace in the long run.","
Instructor(s): C. Mulligan     Terms Offered: Autumn
Prerequisite(s): Econ 20100/20110
"
ECON 26040.  Human Capital and the Economy.  100 Units.,"
This course introduces the concept of human capital, its accumulation process, its role in family decisions, and its impact on the economy. Several models are presented and discussed, covering a wide range of topics, including parental altruism, education, bequests, health, fertility, support in old age, income inequality, intergenerational transmission of wealth, specialization, division of labor, and economic growth. The theory is complemented with historical evidence from different countries and periods.","
Instructor(s): P. Pena     Terms Offered: Spring
Prerequisite(s): Econ 20200/20210
"
ECON 26250.  Public Sector Economics.  100 Units.,"
The concept of ""market distortion"" is used to formulate measurements, explanations, and consequences of government activities including tax systems, expenditure programs, and regulatory arrangements. Topics include cross-country comparisons of government behavior, predicting microlevel responses to policy, measuring and evaluating the incidence of government activity, alternative models of government decision-making, and the application of public finance to other economics fields.","
Instructor(s): Casey Mulligan     Terms Offered: Autumn
Prerequisite(s): College Students - Econ 20200 or 20210 and 21020
Equivalent Course(s): ECON 36200
"
ECON 26920.  Behavioral Economics and Policy.  100 Units.,"
The standard theory of rational choice exhibits explanatory power in a vast range of circumstances, including such disparate decision making environments as whether to commit a crime, have children, or seek to emigrate. Nonetheless, shortfalls from full rationality seem not to be uncommon, and are themselves, to some extent, systematic. Behavioral economics documents and tries to account for these departures from full rationality. This course looks at areas in which some modification of the traditional rational choice apparatus might most be warranted; these include decisions that unfold over time, involve low probability events, or implicate willpower. To what extent should public policy respond to shortfalls from rationality or concern itself with promoting happiness?","
Instructor(s): J. Leitzel     Terms Offered: Autumn
Equivalent Course(s): PBPL 28805
"
ECON 27000.  International Economics.  100 Units.,"
This course covers international economics with an emphasis on international trade. The basic theories of international trade are introduced and used to analyze welfare and distributional effects of international trade, government policies, and technology diffusion. In addition, this course also discusses the main empirical patterns of international trade and international investment.","
Instructor(s): F. Tintelnot     Terms Offered: Winter
Prerequisite(s): ECON 20100/20110
Equivalent Course(s): PBPL 27000
"
ECON 27700.  Health Economics and Public Policy.  100 Units.,"
This course analyzes the economics of health and medical care in the United States with particular attention to the role of government. The first part of the course examines the demand for health and medical and the structure and the consequences of public and private insurance. The second part of the course examines the supply of medical care, including professional training, specialization and compensation, hospital competition, and finance and the determinants and consequences of technological change in medicine. The course concludes with an examination of recent proposals and initiatives for health care reform.","
Instructor(s): Meltzer, D     Terms Offered: Spring
Prerequisite(s): PBPL 20000 or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor
Equivalent Course(s): PBPL 28300, CCTS 38300, PPHA 38300
"
ECON 28000.  Industrial Organization.  100 Units.,"
This course extends the analysis from ECON 20100, with a focus on understanding the way firms make decisions and the effects of those decisions on market outcomes and welfare. The course examines the structure and behavior of firms within industries. Topics include oligopolistic behavior, the problems of regulating highly concentrated industries, and the implementation of U.S. antitrust policy.","
Instructor(s): M. Dinerstein     Terms Offered: Spring
Prerequisite(s): ECON 20100/20110
"
ECON 28060.  The Economics of Organizations: An Experimental Perspective.  100 Units.,"
This course offers an introduction to the experimental methodology while at the same time providing the students with up-to-date insights and findings on how to run an organization and how to manage a workforce. Students will learn the basics of the experimental methodology, learn about the most ground-breaking findings in experimental economics related to the functioning of firms, and know the relevant papers and findings in organizational and personnel economics with a particular emphasis on the question of how to set incentives for workers.","
Instructor(s): S. Neckermann     Terms Offered: Spring
Prerequisite(s): ECON 10000/20000/20010 and STAT 22000/23400/24400/24410/ECON 21010
"
ECON 28100.  The Economics of Sports.  100 Units.,"
This is a course in microeconomics that applies traditional product and factor market theory and quantitative analysis to contemporary economic issues in professional and college athletics. Topics include the sports business; market structures and outcomes; the market for franchises; barriers to entry, rival leagues, and expansion; cooperative, competitive, and collusive behavior among participants; labor markets, productivity, and compensation of players; racial discrimination; public policies and antitrust legislation; and financing of stadiums.","
Instructor(s): A. Sanderson
Prerequisite(s): ECON 20100/20110; ECON 21020 or ECON 21030 strongly recommended
"
ECON 28600.  Economic Analysis of Law.  100 Units.,"
This course involves the application of the choice theory of economics to the opportunities obtainable within different legal environments. The likelihood that a person will choose to return a lost wallet, keep a promise, drive more carefully, or heed the terms in a will is partly a function of the applicable laws and regulations. Alternative rules, under the standard Law and Economics approach, are compared in terms of the economic efficiency of their subsequent outcomes. This efficiency lens of Law and Economics is applied to rules concerning property, torts, contracts, and criminal behavior.","
Instructor(s): J. Leitzel     Terms Offered: Spring
Prerequisite(s): ECON 20100/20110
Equivalent Course(s): PBPL 28605
"
ECON 28620.  Crony Capitalism.  100 Units.,"
The economic system prevailing in most of the world today differs greatly from the idealist version of free markets generally taught in economic classes. This course analyzes the role played by corporate governance, wealth inequality, regulation, the media, and the political process in general in producing these deviations. It will explain why crony capitalism prevails in most of the world and why it is becoming more entrenched also in the United States of America. The course, which requires only basic knowledge of economics, welcomes undergraduates.
This is a non-Booth course offered under the ECON 28620 course number. To register, Booth and non-Booth students will request interest by completing an online form https://chicagobooth.az1.qualtrics.com/jfe/form/SV_doE14sFZebsiGHA which opens February 22, 2021. Enrollments for all students will be processed in timestamp order starting March 2. Students will be emailed if they are enrolled into or waitlisted for the course. The form will remain open through week 1, and will therefore act as the waitlist for the course. The deadline for enrollment processing will be the end of week 1 of spring quarter.","
"
ECON 28700.  The Economics of Crime.  100 Units.,"
This course uses theoretical and empirical economic tools to analyze a wide range of issues related to criminal behavior. Topics include the police, prisons, gang behavior, guns, drugs, capital punishment, labor markets and the macroeconomy, and income inequality. We emphasize the analysis of the optimal role for public policy.","
Instructor(s): S. Levitt     Terms Offered: Spring
Prerequisite(s): ECON 20100/20110; STAT 23400, ECON 21010, or ECON 21020 strongly recommended
Equivalent Course(s): PBPL 23200
"
ECON 29700.  Undergraduate Reading and Research.  100 Units.,"
Students are required to submit the College Reading and Research Course Form.
Prerequisite(s): Consent of directors of the undergraduate program","
Instructor(s): J. Wong     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): Consent of directors of the undergraduate program
"
ECON 29800.  Undergraduate Honors Workshop.  100 Units.,"
For details, see the preceding Honors section.","
Instructor(s): K. Yoshida, V. Lima     Terms Offered: Autumn
Spring
Winter
Prerequisite(s): Faculty sponsorship and consent of honors workshop supervisors
"
ECMA 30750.  The Theory of Market Design.  100 Units.,"
This course will provide an introduction to social choice, two-sided matching, house allocation, school choice, and the recent theoretical developments in kidney exchange. We will develop formal, mathematical language to evaluate and compare different mechanisms including deferred acceptance, top trading cycles, the probabilistic serial mechanism and others. Our approach will be axiomatic; we will explore the tradeoff between the efficiency, incentive compatibility and fairness in the design of mechanisms. This course will be proof-based, so is appropriate for advanced students acquainted with formal mathematical reasoning.","
Instructor(s): J. Root     Terms Offered: Autumn
Prerequisite(s): ECON 20100/20110 and MATH 20300/20310/20700
"
ECMA 30770.  Decision and Strategy.  100 Units.,"
ECON 20700 or 30770 may be used as an economics elective, but only one may be used toward degree requirements. This course provides a formal introduction to game theory with applications in economics. We will study models of how individuals make decisions, and how those decisions are shaped by strategic concerns and uncertainty about the world. The topics will include the theory of individual choice, games of complete and incomplete information, and equilibrium concepts such as Nash equilibrium. The applications will include oligopoly, auctions, and bargaining. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to understanding human behavior.","
Instructor(s): B. Brooks     Terms Offered: Winter
Prerequisite(s): Prerequsites for Undergraduates: ECON 20100/ECON 20110 and MATH 20300/MATH 20310/MATH 20700, or consent of instructor
"
ECMA 30780.  Decision and Strategy II.  100 Units.,"
We continue the formal introduction to decision theory and game theory begun in ECMA 30780, with a specific focus on models of incomplete information. Topics covered include subjective expected utility, Bayesian games, contract theory, and mechanism design. Among the applications we will consider are auctions, collusion, entry deterrence, and strategic communication. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to decision making in strategic situations.","
Instructor(s): B. Brooks     Terms Offered: Spring
Prerequisite(s): ECON 20770/ECMA 30770 or consent of instructor
"
ECMA 30800.  Theory of Auctions.  100 Units.,"
In part, this course covers the analysis of the standard auction formats (i.e., Dutch, English, sealed-bid) and describes conditions under which they are revenue maximizing. We introduce both independent private-value models and interdependent-value models with affiliated signals. Multi-unit auctions are also analyzed with an emphasis on Vickrey's auction and its extension to the interdependent-value setting.","
Instructor(s): P. Reny     Terms Offered: Winter
Prerequisite(s): PQ for Undergraduates: ECON 20100 (or Econ 20110), and MATH 20300 (or Math 20310 or Math 20700), and STAT 23400, 24400 or STAT 24410
"
ECMA 31000.  Introduction to Empirical Analysis.  100 Units.,"
This course introduces students to the key tools of econometric analysis: Probability theory, including probability spaces, random variables, distributions and conditional expectation; Asymptotic theory, including convergence in probability, convergence in distribution, continuous mapping theorems, laws of large numbers, central limit theorems and the delta method; Estimation and inference, including finite sample and asymptotic statistical properties of estimators, confidence intervals and hypothesis testing; Applications to linear models, including properties of ordinary least squares, maximum likelihood and instrumental variables estimators; Non-linear models. Assignments will include both theoretical questions and problems involving data. Necessary tools from linear algebra and statistics will be reviewed as needed.","
Instructor(s): J. Hardwick     Terms Offered: Autumn
Prerequisite(s): PQs for Undergraduates: Econ 21030 or Econ 21110 or Econ 21130
"
ECMA 31100.  Introduction to Empirical Analysis II.  100 Units.,"
This course is an introduction to applied econometrics and builds on tools studied in ECMA 31000. Topics include: Selection on observables, instrumental variables, time series, panel data, discrete choice models, regression discontinuity, nonparametric regression, quantile regression.","
Instructor(s): J. Hardwick     Terms Offered: Winter
Prerequisite(s): Prerequisite for Undergraduates: Econ 21030 or Econ 21110 or Econ 21130 or ECMA 31000 or ECMA 31130. Undergraduates who have taken Econ 21020 are encouraged to obtain instructor consent for enrollment.
"
ECMA 31130.  Topics in Microeconometrics.  100 Units.,"
This course focuses on micro-econometric methods that have applications to a wide range of economic questions. We study identification, estimation, and inference in both parametric and non-parametric models and consider aspects such as consistency, bias and variance of estimators. We discuss how repeated measurements can help with problems related to unobserved heterogeneity and measurement error, and how they can be applied to panel and network data. Topics include duration models, regressions with a large number of covariates, non-parametric regressions, and dynamic discrete choice models. Applications include labor questions such as labor supply, wage inequality decompositions and matching between workers and firms.  Students will be expected to solve programming assignment in R.","
Instructor(s): T. Lamadon     Terms Offered: Autumn
Prerequisite(s): Prerequisites for Undergraduates: ECON 21020 OR ECON 21030
"
ECMA 31320.  Applications of Econometric and Data Science Methods.  100 Units.,"
This course builds on the theoretical foundations set in Econ 21030 and explores further topics pertinent to modern economic applications. While the course content may change from year to year according to student and instructor interests, some potential topics are panel data methods, treatment effects/causal inference, discrete choice/limited dependent variable models, demand estimation, and topics in economic applications of supervised and unsupervised learning algorithms. The course will involve analytically and computationally intensive assignments and a significant empirical project component.","
Instructor(s): A. Hortacsu     Terms Offered: Spring
Prerequisite(s): CMSC 12300/15200/16200 and ECON 21020 (ECON 21030 Honors Econometrics preferred) or consent of instructor
"
ECMA 31330.  Econometrics and Machine Learning.  100 Units.,"
This course reviews a number of modern methods from econometrics, statistics and machine learning, and presents applications to economic problems. Examples of methods covered are simulation-based techniques, regularization via coefficient and matrix penalization, and regression and classification methods such as trees, forests and neural networks. Applications include economic models of network formation, and dimension reduction for structural economic models. The course involves programming and work with data. Beyond econometric background such as Econ 21030, students should have a solid background in computation.","
Instructor(s): S. Bonhomme     Terms Offered: Not offered in 2019-2020
Prerequisite(s): CMSC 12300/15200/16200 and ECON 21020 (ECON 21030 Honors Econometrics preferred)
"
ECMA 31340.  Big Data Tools in Economics.  100 Units.,"
The goal of the class is to learn how to apply microeconomic concepts to large and complex datasets. We will first revisit notions such as identification, inference and latent heterogeneity in classical contexts. We will then study potential concerns in the presence of a large number of parameters in order to understand over-fitting. Throughout the class, emphasis will be put on project-driven computational exercises involving large datasets. We will learn how to efficiently process and visualize such data using state of the art tools in python. Topics will include fitting models using Tensor-Flow and neural nets, creating event studies using pandas, solving large-scale SVDs, etc.","
Instructor(s): T. Lamadon     Terms Offered: Autumn
Prerequisite(s): PQs for Undergraduates:ECON 20100/20110 and ECON 21020/21030
"
ECMA 33220.  Introduction to Advanced Macroeconomic Analysis.  100 Units.,"
This course introduces students to advanced methods for macroeconomic analysis. In the first part, we discuss time series methods such as impulse response analysis, vector autoregression, co-integration, shock identification, and business cycle detrending. In the second part, we examine and analyze a simple, yet powerful stochastic dynamic real business cycle model. In that context, the students will learn about dynamic programming, rational expectations, intertemporal optimization, asset pricing, the Frisch elasticity of labor supply, log-linearization, and computational tools to solve for the recursive law of motion of dynamic stochastic general equilibrium models. Finally, we touch upon some further models, such as the overlapping generations model and/or the continuous-time neoclassical growth model. The course is useful for students interested to deepen their knowledge in macroeconomics, in order to read, understand, and replicate some of the recent research in the field; as preparation for careers involving macroeconomic analysis, time series analysis, or asset pricing; or as preparation for graduate school. Decent knowledge of linear algebra and calculus is required. All advanced material will be taught in class.","
Instructor(s): H. Uhlig     Terms Offered: Autumn
Prerequisite(s): ECON 20200 (or ECON 20210) and ECON 21020 (or ECON 21030)
"
ECMA 33230.  Macroeconomic Crises.  100 Units.,"
This course introduces students to economic theories of ""crises"" or particular periods of rapid (negative) changes in real and financial variables that are distinct from long-run growth and regular business cycles. In particular, we will cover the origin of various types of financial crises, i.e. speculative bubbles, bank runs, credit crunches, and sovereign debt crises and defaults. Time permitting, we will also study currency crises and speculative attacks. Throughout, our focus will be on the implications for fiscal and monetary policy.","
Instructor(s): N. Balke     Terms Offered: Winter
Prerequisite(s): ECON 23950 and ECON 21020 (or ECON 21030)
"
ECMA 33330.  Introduction to Dynamic Economic Modeling.  100 Units.,"
This course provides an introduction to dynamic economic models, with applications to macroeconomics, labor economics, financial economics, and other subfields of economics. The core methodology will be consistent over time, but the applications will vary from year to year. The course will analyze decentralized equilibrium and social planner's problems in dynamic environments. It will focus on developing techniques for analyzing such models graphically, analytically, and computationally. Students should be familiar with constrained optimization (e.g. Lagrangians), linear algebra, and difference equations, as well as microeconomics, macroeconomics, and econometrics at an intermediate level.","
Instructor(s): R. Shimer
Prerequisite(s): ECON 20200 (or ECON 20210) and ECON 21020 (or ECON 21030)
"
ECMA 33620.  Introduction to Heterogeneous Agent Macroeconomics.  100 Units.,"
This class is an introduction to macroeconomics with heterogeneous households. We will study consumption-savings problems, income dynamics, wealth inequality in partial and general equilibrium, and the effects of fiscal and monetary policy in the presence of household inequality. The class will make use of theoretical analysis, empirical analysis and computational methods. Material will be presented in both discrete and continuous time. Students will analyze micro-level data on wealth, income and consumption, and will learn how to write code to solve heterogeneous agent models on a computer. Familiarity with a statisical package such as R or Stata, and a programming language such as Matlab, Python, Julia, Fortran or C is highly recommended.","
Instructor(s): G. Kaplan     Terms Offered: Spring
Prerequisite(s): Undergraduates: PQ: ECON 20200/20210)and ECON 21020/21030
"
ECMA 35550.  The Practicalities of Running Randomized Control Trials.  100 Units.,"
This course is designed for those who plan to run a randomized control trial. It provides practical advice about the trade-offs researchers face when selecting topics to study, the type of randomization technique to use, the content of a survey instruments, analytical techniques and much more. How do you choose the right minimum detectable effect size for estimating the sample size needed to run a high quality RCT? How do you quantify difficult to measure outcomes such as women's empowerment or ensure people are providing truthful answers when you are asking questions on sensitive topics like sexual health? When should you tie your hands by pre-committing to your analysis plan in advance, and when is a pre-analysis plan not a good idea? This course will draw on lots of examples from RCTs around the world, most (though not all) from a development context. Alongside field tips, it will also cover the concepts and theory behind the tradeoffs researchers face running RCTs. The course is designed for PhD students but given its practical nature is open to and accessible to masters students who plan to work on RCTs.","
Instructor(s): Glennerster, R.     Terms Offered: Autumn
Equivalent Course(s): ECON 35550, PPHA 35561
"
ECMA 36700.  Economics of Education.  100 Units.,"
This course explores economic models of the demand for and supply of different forms of schooling. The course examines the markets for primary, secondary, and post-secondary schooling. The course examines numerous public policy questions, such as the role of government in funding or subsidizing education, the design of public accountability systems, the design of systems that deliver publicly funded (and possibly provided) education, and the relationship between education markets and housing markets.","
Instructor(s): D. Neal     Terms Offered: Autumn
Prerequisite(s): ECON 21020 or ECON 21030
Equivalent Course(s): PBPL 26705, EDSO 26700
"
ECMA 38010.  Empirical Industrial Organization.  100 Units.,"
This course will provide an introduction to state-of-the-art methodologies in Empirical Industrial Organization. We will use real-life data to learn about consumers and firms. We will cover demand and preference estimation, production function estimation, empirical models of market entry, and auctions. We will also discuss applications including prediction, policy analysis, and price optimization. Students will learn about theory, estimation, optimization, and practical considerations. Students will apply what they learn using R.","
Instructor(s): C. Dobronyi     Terms Offered: Winter
Prerequisite(s): Prerequisites for Undergraduates: ECON 20100/20110 and ECON 21020/21030
"
BUSN 20550.  Application Development.  100 Units.,"
The new reality is that every company is a software company. Even in traditionally brick-and-mortar industries, software is performing more and more of the work. Many companies (especially ""lean startups"") are purely software-based.
Lacking an understanding of how software works and how software is built puts you at a disadvantage. Our goal is to develop an understanding of both. We believe the best way to do that is to build something yourself, using modern languages and workflows. You will build a functional prototype of your own app idea, and will learn the Ruby on Rails web application framework. Higher-level goals are to:
1. Understand the general, platform-independent patterns of how apps work.
2. Communicate more effectively and credibly.
3. Develop a builder's eye for problems that can be solved with technology.
4. Prioritize features more intelligently by developing a better feel for their costs.
5. Implement a modern software development workflow, from task management to version control to quality assurance to deployment.
6. Be able to make and test small changes to an app yourself.
This course is entirely project-driven. We will build a series of apps in class. Also, you will build your own app idea which will be your final project. This course is designed for a beginner who has never programmed before. 
Note: Due to the intensive support requirements and volume of requests, we can't allow auditors.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20550 if BUSN 36110 Application Development taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. BUSN 20550 (and BUSN 36110) cannot count toward the standard economics major electives or the business economics specialization electives.
"
BUSN 20100.  Financial Accounting.  100 Units.,"
This course provides an introduction to financial statements and the financial reporting process from a user's perspective.  The focus of the course is on fundamental accounting concepts and principles.  Students learn how the economic transactions of a firm are reported in the financial statements and related disclosures.  The objective of the course is to provide students with basic skills necessary to read and analyze financial statements as well as to prepare students for more advanced financial statement analysis courses.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20100 if BUSN 30000 Financial Accounting taken previously. Booth Book Fee may be assessed.  Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. 
"
BUSN 20101.  Managerial Accounting.  100 Units.,"
This course focuses on internal operations, cost analysis, and performance evaluation, as opposed to the evaluation of external financial statements. Its targeted audience includes students intending become management consultants, entrepreneurs, managers (e.g., CEOs, CFOs, COOs, and product managers), and anyone with an interest in understanding how firms (1) make decisions about products and services and (2) evaluate performance and control risk. Topics covered include overhead allocation, activity based costing, opportunity cost of excess capacity, customer profitability, capital budgeting, transfer pricing, performance evaluation, risk management, internal controls, and fraud. Applications cover both the manufacturing and services sectors.","
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20101 if BUSN 30001 Cost Analysis and Internal Controls taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge 
"
BUSN 20140.  Accounting and Financial Analysis.  100 Units.,"
The course is designed to provide the tools necessary to conduct a reasonably sophisticated financial statement analysis. The focus is on the use of financial statements, although this requires some understanding of the process by which financial statements are produced.
We will not limit our study to the financial statements per se. We will also work with supplemental disclosures, which help the analyst to interpret the financial statements and to understand better the economic transactions that gave rise to them. The techniques we will employ will be useful for both equity and credit analysis. Although this course does not cover forecasting or valuation per se, a thorough understanding of financial reporting issues is critical to being able to do a thoughtful financial forecast and valuation. As a result, this course will be especially useful as a prelude to Financial Statement Analysis (BUSN 20150/30130).
Specific topics include basic concepts of financial statement analysis, revenue recognition, leasing, financial analysis when there is discontinuity (acquisitions, divestitures, accounting changes), accounting for income taxes, earnings per share.  Other topics may be included as well.","
Terms Offered: Spring
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20140 if BUSN 30116 Accounting and Financial Analysis taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course. Financial Accounting (BUSN 20100 or BUSN 30000) is a strict prerequisite. 
"
BUSN 20150.  Financial Statement Analysis.  100 Units.,"
This course teaches you how to analyze financial statements in order to develop financial statement models, assess credit risk, and, ultimately, value a company. The course provides both a framework and the tools necessary to analyze financial statements. Its primary objective is to advance your understanding of how financial reporting can be used in a variety of decisions (e.g., lending and investment decisions) and analyses (e.g., financial distress and bankruptcy prediction). It is applied in nature and stresses the use of actual financial statements. Throughout the course, I draw heavily on real business examples and use cases to illustrate the application of the techniques and tools. Topics include traditional ratio analysis techniques, accounting analysis (i.e., identifying earnings management and accounting quality issues), and financial risk assessment. The second part of the course focuses on equity valuation, e.g., the preparation of pro forma financial statements, and the use of various valuation models. While students with a multitude of interests will benefit from this course, students with an interest in investment banking, equity or credit analysis, consulting, strategy, corporate finance, or management will find this course particularly relevant.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20150 if BUSN 30130 Financial Statement Analysis taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.  Financial Accounting (BUSN 20100 or BUSN 30000) is a  strict prerequisite.  
"
BUSN 20330.  Building the New Venture.  100 Units.,"
This course is intended for students who are interested in starting new entrepreneurial businesses. It is tactical, hands-on, and covers the nuts and bolts of starting a company with a lesser emphasis on investing in entrepreneurial ventures. Students will learn how to raise seed funding, compensate for limited human and financial resources, establish brand values and positioning, secure a strong niche position, determine appropriate sourcing and sales channels, and develop execution plans in sales, marketing, product development and operations. The emphasis is managerial and entrepreneurial, essentially a working model for starting an enterprise.
This class is executed through a combination of lectures, group assignments based on student's new venture ideas, case discussions, VC and entrepreneur guest lectures and panels, and ultimately ties together in a pitch at the end of the quarter to a panel of VC observers.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20330 if BUSN 34103 Building the New Venture taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20340.  Developing a New Venture.  100 Units.,"
This course is designed to guide groups of students through the new venture creation process. Students will have passed through the first round of the College New Venture Challenge, and will be developing their own original new business ideas.
Students may enter the course with ideas that are traditionally for-profit in nature or more socially oriented (either for- or not-for-profit ventures).
Students in this course can expect to learn:
• how to evaluate the potential and viability of their entrepreneurial ideas
• how to conduct research on specific market opportunities
• how to analyze the competitive landscape
• have to evaluate the merits and drawbacks of unique business models
• how to pitch their idea/venture to investors, experts, mentors, and fellow entrepreneurs
Additional topics include financial projections, product /technology development, legal issues for startups, and entrepreneurial marketing tactics.
Students must prepare and submit original feasibility summaries prior to the application deadline. During the course, students will expand these summaries into full business plans, and will be required to present their ventures multiple times to venture capital investors, entrepreneurs, and startup mentors.
Students interested in careers in: startups, technology, business, consulting, and management are encouraged to take this course.
Enrollment by permission based on the feasibility summary application.
This course is not open to MBA students.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20340 if BUSN 34104 Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge) taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge.  All first year college students are restricted from enrolling into this course.  Consent only:  Students will have passed through the first round of the College New Venture Challenge.
"
BUSN 20920.  Social Entrepreneurship and Innovation.  100 Units.,"
We will study social innovation with a focus on the role of social entrepreneurship for implementing innovative solutions to society's problems.
A team of 4 students will be assigned with an innovative idea that addresses a social problem and could become a (for-profit or non-profit) social venture. Students will provide their preferences for assignment from a list of preselected ideas. Teams will essentially develop a business idea around this innovation. To achieve this, students will research the relevant literature, conduct customer discovery, analyze the competitive landscape, validate and refine the offering, propose a business model, articulate a theory of change, and identify an impact management strategy. Teams will present to the idea sponsor at the end of the quarter and in a mid-quarter check-in.
The hope is that there will be sufficient validation and interest to move forward with some of these ventures with students involved in or leading the venture. One path is to participate in the John Edwardson, '72, Social New Venture Challenge.
Much of class time will be devoted to group exercises to implement frameworks to answer these questions for the projects as well as a set of case study examples we will use throughout the course. In addition, there will be readings and discussions on a set of topics to provide a broader understanding of the economics of social innovation and its relationship to more traditional innovation.
Grading will be based weekly project","
Terms Offered: TBD
"
BUSN 20400.  Investments.  100 Units.,"
This course offers the financial theory and quantitative tools necessary for understanding how stock, bond, and option prices are determined, and how financial assets are used for investment decisions. Topics covered include the following: the term structure of interest rates; portfolio selection based on mean-variance analysis; models of risk and return (including the CAPM and multifactor models); performance evaluation; market efficiency and the random walk hypothesis; asset pricing anomalies and behavioral finance; derivative security pricing (including options, futures, forwards, and swaps); and international investment.
This course is not open to MBA students.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20400 if BUSN 35000 Investments taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20405.  Financial Instruments.  100 Units.,"
This course develops, critically assesses, and applies theories of pricing derivatives.  Topic discussed are:  forward and futures contracts; interest rate and currency swaps; option trading strategies; binomial option pricing; the Black-Scholes-Merton option pricing model and extensions; risk management with options; empirical evidence and time-varying volatility; the pricing and hedging of corporate securities (common stock, senior and junior bonds, callable bonds, warrants, convertible bonds, and putable bonds); credit risk; and real options.","
Terms Offered: Autumn
Prerequisite(s): There are no enforced prerequisites but Investments (Business 20400/35000) is helpful. This course is not open to MBA students. Cannot enroll in BUSN 20405 if BUSN 35100 Financial Instruments taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.
"
BUSN 20410.  Corporation Finance.  100 Units.,"
This course provides you with an understanding of major decisions made by corporate financial managers and to familiarize you with the tools used to make these decisions. The first part of the course covers methods used to value investment opportunities. Particular attention is given to discounted cash flow valuation, including the methods of weighted average cost of capital (WACC) and adjusted present value (APV).  The second part of the course focuses on issues of corporate financial structure. The focus will be on the choice of financing through equity, debt and other types of securities and on payout policies through dividends. Specialized topics, such as mergers and acquisitions and corporate hedging will be covered as time permits.","
Instructor(s): Faculty TBD     Terms Offered: TBD
Prerequisite(s): This course is not open to MBA students. Cannot enroll in BUSN 20410 if BUSN 35200 Corporation Finance taken previously. Booth Book Fee may be assessed. Refer to FAQ webpage for registration and schedule details: https://tinyurl.com/y8wz3oge. All first year college students are restricted from enrolling into this course.  Financial Accounting (BUSN 20100 or 30000) required.  Investments (BUSN 20400 or 35000) strongly recommended.
"
